iter	Passed	Remaining
0	398	119149
1	419	62496
2	448	44449
3	468	34701
4	485	28657
5	513	25147
6	531	22255
7	566	20665
8	581	18806
9	602	17485
10	625	16430
11	649	15583
12	711	15704
13	754	15405
14	782	14866
15	858	15235
16	878	14617
17	902	14145
18	960	14202
19	981	13738
20	998	13266
21	1013	12806
22	1028	12385
23	1044	12016
24	1056	11620
25	1066	11243
26	1078	10901
27	1089	10579
28	1097	10259
29	1107	9963
30	1117	9695
31	1125	9429
32	1135	9183
33	1146	8966
34	1160	8784
35	1170	8581
36	1179	8383
37	1188	8193
38	1196	8009
39	1209	7860
40	1220	7708
41	1231	7565
42	1253	7491
43	1264	7359
44	1276	7233
45	1290	7123
46	1307	7038
47	1322	6940
48	1340	6866
49	1358	6794
50	1372	6703
51	1431	6824
52	1448	6750
53	1468	6689
54	1487	6626
55	1503	6552
56	1520	6480
57	1533	6398
58	1554	6350
59	1571	6285
60	1586	6215
61	1599	6139
62	1616	6080
63	1644	6063
64	1663	6013
65	1684	5973
66	1708	5942
67	1729	5901
68	1746	5847
69	1765	5801
70	1778	5736
71	1794	5682
72	1808	5624
73	1821	5561
74	1832	5498
75	1845	5440
76	1857	5380
77	1870	5324
78	1881	5264
79	1895	5213
80	1939	5243
81	1951	5187
82	1961	5128
83	1975	5079
84	1988	5029
85	2001	4979
86	2009	4919
87	2020	4867
88	2030	4814
89	2043	4767
90	2055	4720
91	2069	4678
92	2084	4639
93	2096	4594
94	2106	4546
95	2119	4503
96	2134	4466
97	2145	4423
98	2157	4379
99	2175	4351
100	2186	4308
101	2196	4264
102	2204	4217
103	2219	4183
104	2232	4146
105	2245	4109
106	2261	4078
107	2274	4043
108	2287	4008
109	2299	3971
110	2309	3932
111	2327	3906
112	2338	3869
113	2350	3835
114	2364	3804
115	2378	3772
116	2391	3740
117	2405	3710
118	2417	3676
119	2429	3643
120	2439	3609
121	2448	3573
122	2458	3537
123	2467	3501
124	2475	3465
125	2485	3432
126	2494	3397
127	2503	3364
128	2513	3331
129	2524	3300
130	2535	3271
131	2547	3242
132	2561	3215
133	2584	3201
134	2624	3207
135	2639	3182
136	2656	3160
137	2669	3133
138	2680	3104
139	2690	3074
140	2704	3049
141	2714	3019
142	2722	2989
143	2732	2960
144	2753	2943
145	2761	2912
146	2769	2882
147	2780	2855
148	2793	2830
149	2803	2803
150	2815	2777
151	2827	2752
152	2838	2726
153	2853	2704
154	2865	2680
155	2883	2661
156	2896	2637
157	2927	2631
158	2940	2607
159	2950	2582
160	2962	2557
161	2981	2540
162	3016	2534
163	3028	2511
164	3037	2485
165	3045	2458
166	3053	2431
167	3061	2405
168	3070	2380
169	3079	2354
170	3091	2332
171	3108	2313
172	3121	2291
173	3133	2268
174	3144	2245
175	3160	2226
176	3171	2204
177	3183	2182
178	3195	2160
179	3205	2137
180	3217	2115
181	3229	2093
182	3243	2073
183	3251	2050
184	3260	2027
185	3268	2003
186	3277	1980
187	3286	1957
188	3295	1935
189	3305	1913
190	3314	1891
191	3322	1869
192	3332	1847
193	3341	1825
194	3350	1804
195	3359	1782
196	3369	1761
197	3380	1741
198	3388	1719
199	3399	1699
200	3408	1678
201	3421	1659
202	3430	1638
203	3439	1618
204	3447	1597
205	3456	1577
206	3464	1556
207	3472	1535
208	3481	1515
209	3491	1496
210	3502	1477
211	3513	1458
212	3528	1441
213	3542	1423
214	3556	1406
215	3569	1388
216	3590	1373
217	3604	1355
218	3619	1338
219	3632	1321
220	3644	1302
221	3657	1284
222	3667	1266
223	3676	1247
224	3685	1228
225	3698	1211
226	3706	1192
227	3716	1173
228	3725	1155
229	3735	1136
230	3746	1119
231	3756	1101
232	3767	1083
233	3780	1066
234	3793	1049
235	3811	1033
236	3825	1016
237	3838	999
238	3850	982
239	3861	965
240	3870	947
241	3880	930
242	3910	917
243	3919	899
244	3929	882
245	3939	864
246	3949	847
247	3962	830
248	3972	813
249	3981	796
250	3990	779
251	3998	761
252	4007	744
253	4016	727
254	4025	710
255	4034	693
256	4044	676
257	4053	659
258	4060	642
259	4068	625
260	4080	609
261	4089	593
262	4097	576
263	4106	559
264	4114	543
265	4126	527
266	4136	511
267	4144	494
268	4154	478
269	4163	462
270	4172	446
271	4182	430
272	4190	414
273	4198	398
274	4205	382
275	4214	366
276	4224	350
277	4234	335
278	4243	319
279	4252	303
280	4262	288
281	4271	272
282	4281	257
283	4291	241
284	4300	226
285	4308	210
286	4317	195
287	4326	180
288	4336	165
289	4352	150
290	4367	135
291	4387	120
292	4405	105
293	4428	90
294	4443	75
295	4459	60
296	4473	45
297	4484	30
298	4496	15
299	4504	0
